,State,County,Temp Avg,Year,Temp Max,Temp Min,Precipitation,Location
0,AK,Aleutians East Borough,38.8,2018,44.1,33.6,41.35,"Aleutians East Borough, AK"
1,AK,Aleutians East Borough,40.8,2019,45.8,35.8,57.44,"Aleutians East Borough, AK"
2,AK,Aleutians East Borough,41.3,2020,46.6,36.1,54.55,"Aleutians East Borough, AK"
3,AK,Aleutians West Census Area,39.7,2018,43.6,35.7,47.58,"Aleutians West Census Area, AK"
4,AK,Aleutians West Census Area,41.0,2019,44.7,37.3,69.95,"Aleutians West Census Area, AK"
5,AK,Aleutians West Census Area,40.9,2020,44.9,36.9,63.46,"Aleutians West Census Area, AK"
6,AK,Anchorage Municipality,32.9,2018,39.4,26.3,64.83,"Anchorage Municipality, AK"
7,AK,Anchorage Municipality,34.3,2019,40.9,27.8,73.43,"Anchorage Municipality, AK"
8,AK,Anchorage Municipality,35.3,2020,42.3,28.3,63.96,"Anchorage Municipality, AK"
9,AK,Bethel Census Area,33.1,2018,40.7,25.4,26.09,"Bethel Census Area, AK"
10,AK,Bethel Census Area,34.8,2019,41.7,28.0,26.39,"Bethel Census Area, AK"
11,AK,Bethel Census Area,34.6,2020,41.8,27.4,27.89,"Bethel Census Area, AK"
12,AK,Bristol Bay Borough,37.2,2018,45.2,29.2,22.72,"Bristol Bay Borough, AK"
13,AK,Bristol Bay Borough,39.5,2019,47.0,32.1,29.87,"Bristol Bay Borough, AK"
14,AK,Bristol Bay Borough,39.4,2020,47.6,31.2,24.82,"Bristol Bay Borough, AK"
15,AK,Denali Borough,28.6,2018,37.4,19.8,22.66,"Denali Borough, AK"
16,AK,Denali Borough,29.4,2019,37.8,21.0,26.4,"Denali Borough, AK"
17,AK,Denali Borough,29.5,2020,38.1,21.0,27.45,"Denali Borough, AK"
18,AK,Dillingham Census Area,35.4,2018,43.1,27.5,37.4,"Dillingham Census Area, AK"
19,AK,Dillingham Census Area,37.6,2019,44.6,30.4,44.65,"Dillingham Census Area, AK"
20,AK,Dillingham Census Area,37.3,2020,44.8,29.8,44.16,"Dillingham Census Area, AK"
21,AK,Fairbanks North Star Borough,29.4,2018,38.7,20.1,19.87,"Fairbanks North Star Borough, AK"
22,AK,Fairbanks North Star Borough,29.7,2019,38.6,20.9,20.42,"Fairbanks North Star Borough, AK"
23,AK,Fairbanks North Star Borough,30.6,2020,39.4,21.8,20.29,"Fairbanks North Star Borough, AK"
24,AK,Haines Borough,33.0,2018,39.2,26.8,82.66,"Haines Borough, AK"
25,AK,Haines Borough,34.6,2019,41.0,28.2,74.43,"Haines Borough, AK"
26,AK,Haines Borough,35.2,2020,41.7,28.7,78.51,"Haines Borough, AK"
27,AK,Hoonah-Angoon Census Area,36.6,2018,42.1,31.2,128.71,"Hoonah-Angoon Census Area, AK"
28,AK,Hoonah-Angoon Census Area,38.0,2019,43.7,32.4,115.19,"Hoonah-Angoon Census Area, AK"
29,AK,Hoonah-Angoon Census Area,38.4,2020,44.1,32.6,122.07,"Hoonah-Angoon Census Area, AK"
30,AK,Juneau City and Borough,33.3,2018,38.8,27.8,170.39,"Juneau City and Borough, AK"
31,AK,Juneau City and Borough,34.9,2019,40.5,29.3,140.18,"Juneau City and Borough, AK"
32,AK,Juneau City and Borough,35.4,2020,41.2,29.5,149.8,"Juneau City and Borough, AK"
33,AK,Kenai Peninsula Borough,33.9,2018,40.7,27.2,60.06,"Kenai Peninsula Borough, AK"
34,AK,Kenai Peninsula Borough,36.0,2019,42.8,29.2,66.12,"Kenai Peninsula Borough, AK"
35,AK,Kenai Peninsula Borough,36.5,2020,43.6,29.4,62.7,"Kenai Peninsula Borough, AK"
36,AK,Ketchikan Gateway Borough,40.6,2018,46.5,34.7,157.32,"Ketchikan Gateway Borough, AK"
37,AK,Ketchikan Gateway Borough,41.6,2019,47.5,35.8,124.64,"Ketchikan Gateway Borough, AK"
38,AK,Ketchikan Gateway Borough,40.9,2020,46.8,35.1,142.87,"Ketchikan Gateway Borough, AK"
39,AK,Kodiak Island Borough,38.7,2018,45.0,32.4,59.83,"Kodiak Island Borough, AK"
40,AK,Kodiak Island Borough,40.8,2019,47.2,34.4,67.96,"Kodiak Island Borough, AK"
41,AK,Kodiak Island Borough,41.3,2020,48.0,34.5,65.79,"Kodiak Island Borough, AK"
42,AK,Kusilvak Census Area,32.4,2018,39.2,25.5,24.03,"Kusilvak Census Area, AK"
43,AK,Kusilvak Census Area,33.9,2019,39.6,28.1,22.16,"Kusilvak Census Area, AK"
44,AK,Kusilvak Census Area,33.7,2020,39.7,27.7,27.11,"Kusilvak Census Area, AK"
45,AK,Lake and Peninsula Borough,36.2,2018,43.7,28.7,35.42,"Lake and Peninsula Borough, AK"
46,AK,Lake and Peninsula Borough,38.6,2019,45.9,31.2,44.54,"Lake and Peninsula Borough, AK"
47,AK,Lake and Peninsula Borough,38.8,2020,46.6,31.0,42.36,"Lake and Peninsula Borough, AK"
48,AK,Matanuska-Susitna Borough,30.2,2018,37.5,22.8,33.46,"Matanuska-Susitna Borough, AK"
49,AK,Matanuska-Susitna Borough,31.2,2019,38.6,23.9,39.18,"Matanuska-Susitna Borough, AK"
50,AK,Matanuska-Susitna Borough,31.8,2020,39.6,24.0,34.42,"Matanuska-Susitna Borough, AK"
51,AK,Nome Census Area,28.3,2018,34.6,22.0,16.7,"Nome Census Area, AK"
52,AK,Nome Census Area,30.0,2019,35.5,24.5,15.1,"Nome Census Area, AK"
53,AK,Nome Census Area,29.8,2020,35.4,24.3,18.61,"Nome Census Area, AK"
54,AK,North Slope Borough,19.1,2018,25.8,12.6,13.39,"North Slope Borough, AK"
55,AK,North Slope Borough,18.6,2019,25.1,12.0,12.62,"North Slope Borough, AK"
56,AK,North Slope Borough,20.7,2020,27.3,14.1,14.04,"North Slope Borough, AK"
57,AK,Northwest Arctic Borough,25.4,2018,32.6,18.1,17.32,"Northwest Arctic Borough, AK"
58,AK,Northwest Arctic Borough,27.2,2019,33.9,20.6,13.94,"Northwest Arctic Borough, AK"
59,AK,Northwest Arctic Borough,27.8,2020,34.6,20.9,15.57,"Northwest Arctic Borough, AK"
60,AK,Petersburg Borough,36.0,2018,41.4,30.6,168.75,"Petersburg Borough, AK"
61,AK,Petersburg Borough,37.3,2019,42.7,31.8,140.44,"Petersburg Borough, AK"
62,AK,Petersburg Borough,37.3,2020,42.7,31.9,161.85,"Petersburg Borough, AK"
63,AK,Prince of Wales-Hyder Census Area,43.2,2018,48.7,37.7,105.82,"Prince of Wales-Hyder Census Area, AK"
64,AK,Prince of Wales-Hyder Census Area,44.2,2019,49.6,38.8,88.86,"Prince of Wales-Hyder Census Area, AK"
65,AK,Prince of Wales-Hyder Census Area,43.5,2020,48.6,38.4,96.86,"Prince of Wales-Hyder Census Area, AK"
66,AK,Sitka City and Borough,40.3,2018,45.7,34.9,138.86,"Sitka City and Borough, AK"
67,AK,Sitka City and Borough,41.6,2019,47.0,36.1,124.54,"Sitka City and Borough, AK"
68,AK,Sitka City and Borough,41.6,2020,47.0,36.3,138.54,"Sitka City and Borough, AK"
69,AK,Skagway Municipality,29.9,2018,36.0,23.8,64.3,"Skagway Municipality, AK"
70,AK,Skagway Municipality,31.6,2019,37.6,25.6,65.22,"Skagway Municipality, AK"
71,AK,Skagway Municipality,32.4,2020,38.4,26.4,68.37,"Skagway Municipality, AK"
72,AK,Southeast Fairbanks Census Area,26.3,2018,35.3,17.3,20.95,"Southeast Fairbanks Census Area, AK"
73,AK,Southeast Fairbanks Census Area,26.6,2019,35.4,17.8,21.98,"Southeast Fairbanks Census Area, AK"
74,AK,Southeast Fairbanks Census Area,27.7,2020,36.4,19.0,21.35,"Southeast Fairbanks Census Area, AK"
