Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,70.98,119,17.25,53.73
AL-003,Baldwin County,75.8,112,13.53,62.27
AL-005,Barbour County,64.46,116,11.94,52.52
AL-007,Bibb County,68.09,115,12.66,55.43
AL-009,Blount County,66.56,112,10.74,55.82
AL-011,Bullock County,62.86,114,10.59,52.27
AL-013,Butler County,69.99,120,14.06,55.93
AL-015,Calhoun County,62.6,105,9.01,53.59
AL-017,Chambers County,66.5,117,13,53.5
AL-019,Cherokee County,70.89,124,17.16,53.73
AL-021,Chilton County,71.71,119,17.31,54.4
AL-023,Choctaw County,65.56,108,8.42,57.14
AL-025,Clarke County,70.79,112,12.61,58.18
AL-027,Clay County,69.92,118,13.87,56.05
AL-029,Cleburne County,68.82,118,14.69,54.13
AL-031,Coffee County,73.52,121,17.05,56.47
AL-033,Colbert County,66.86,115,13.13,53.73
AL-035,Conecuh County,68.97,112,10.73,58.24
AL-037,Coosa County,70.3,117,15.47,54.83
AL-039,Covington County,73.91,121,15.01,58.9
AL-041,Crenshaw County,69.47,121,13.88,55.59
AL-043,Cullman County,67.26,112,10.94,56.32
AL-045,Dale County,71.19,122,16.52,54.67
AL-047,Dallas County,67.11,117,14.08,53.03
AL-049,DeKalb County,71.44,123,15.8,55.64
AL-051,Elmore County,65.51,114,11.86,53.65
AL-053,Escambia County,71.14,107,10.43,60.71
AL-055,Etowah County,65.47,112,10.82,54.65
AL-057,Fayette County,76.3,123,19.77,56.53
AL-059,Franklin County,68.14,113,13.24,54.9
AL-061,Geneva County,78.04,123,20.57,57.47
AL-063,Greene County,65.36,113,12.16,53.2
AL-065,Hale County,61.92,107,7.96,53.96
AL-067,Henry County,67.33,117,13.74,53.59
AL-069,Houston County,73.24,124,18.84,54.4
AL-071,Jackson County,71.32,119,16.48,54.84
AL-073,Jefferson County,66.38,111,10.6,55.78
AL-075,Lamar County,69.76,113,14.59,55.17
AL-077,Lauderdale County,67.93,118,13.75,54.18
AL-079,Lawrence County,68.61,117,15.01,53.6
AL-081,Lee County,65.01,115,12.54,52.47
AL-083,Limestone County,70.08,121,16.19,53.89
AL-085,Lowndes County,65,117,12.42,52.58
AL-087,Macon County,61.78,114,9.88,51.9
AL-089,Madison County,70.52,123,16.02,54.5
AL-091,Marengo County,55.46,82,1.05,54.41
AL-093,Marion County,70.48,115,14.67,55.81
AL-095,Marshall County,65.67,108,11.11,54.56
AL-097,Mobile County,71.42,101,8.54,62.88
AL-099,Monroe County,67.57,112,10.08,57.49
AL-101,Montgomery County,64.9,116,12.56,52.34
AL-103,Morgan County,67.39,120,13.24,54.15
AL-105,Perry County,62.45,106,8.66,53.79
AL-107,Pickens County,66.34,112,12.71,53.63
AL-109,Pike County,67.06,120,12.44,54.62
AL-111,Randolph County,68.68,120,13.78,54.9
AL-113,Russell County,61.19,112,11.16,50.03
AL-115,St. Clair County,65.2,111,9.85,55.35
AL-117,Shelby County,69.42,117,14.31,55.11
AL-119,Sumter County,60.87,98,6.5,54.37
AL-121,Talladega County,67.28,116,13.37,53.91
AL-123,Tallapoosa County,64.42,112,10.02,54.4
AL-125,Tuscaloosa County,69.09,117,13.42,55.67
AL-127,Walker County,66.27,110,9.47,56.8
AL-129,Washington County,73.33,114,13.32,60.01
AL-131,Wilcox County,61.27,104,6.78,54.49
AL-133,Winston County,70.44,118,13.79,56.65
AZ-001,Apache County,11.57,42,-1.86,13.43
AZ-003,Cochise County,16.51,97,1.95,14.56
AZ-005,Coconino County,13.3,73,-0.26,13.56
AZ-007,Gila County,18.56,54,-2.12,20.68
