Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,65.7,117,1.8,63.9
AL-003,Baldwin County,68.6,119,1.8,66.8
AL-005,Barbour County,66.3,112,1.5,64.8
AL-007,Bibb County,64.4,112,1.6,62.8
AL-009,Blount County,63.1,120,2.4,60.7
AL-011,Bullock County,65.8,114,1.7,64.1
AL-013,Butler County,66.3,113,1.7,64.6
AL-015,Calhoun County,63.4,122,2.4,61
AL-017,Chambers County,63.5,117,2,61.5
AL-019,Cherokee County,62.5,116,1.9,60.6
AL-021,Chilton County,64,103,1.3,62.7
AL-023,Choctaw County,66.6,122,2.1,64.5
AL-025,Clarke County,66.9,122,2,64.9
AL-027,Clay County,62.7,120,2,60.7
AL-029,Cleburne County,62.4,123,2.5,59.9
AL-031,Coffee County,67,113,1.6,65.4
AL-033,Colbert County,62,120,2.1,59.9
AL-035,Conecuh County,67.3,114,1.9,65.4
AL-037,Coosa County,63.7,108,1.5,62.2
AL-039,Covington County,67.3,115,1.7,65.6
AL-041,Crenshaw County,65.9,107,1.5,64.4
AL-043,Cullman County,62.6,121,2.3,60.3
AL-045,Dale County,67.3,114,1.6,65.7
AL-047,Dallas County,66.4,121,2,64.4
AL-049,DeKalb County,60.8,110,1.5,59.3
AL-051,Elmore County,65.5,115,1.7,63.8
AL-053,Escambia County,67.8,118,1.8,66
AL-055,Etowah County,63.1,120,2.2,60.9
AL-057,Fayette County,63.9,118,1.9,62
AL-059,Franklin County,61.9,119,2,59.9
AL-061,Geneva County,68.1,122,2,66.1
AL-063,Greene County,65.3,112,1.5,63.8
AL-065,Hale County,65.3,113,1.6,63.7
AL-067,Henry County,67.4,118,1.7,65.7
AL-069,Houston County,68.4,121,1.9,66.5
AL-071,Jackson County,61,113,1.6,59.4
AL-073,Jefferson County,64,119,2.2,61.8
AL-075,Lamar County,63.9,116,1.8,62.1
AL-077,Lauderdale County,61.6,120,2.1,59.5
AL-079,Lawrence County,61.7,114,1.6,60.1
AL-081,Lee County,64.9,119,2,62.9
AL-083,Limestone County,61.8,117,2,59.8
AL-085,Lowndes County,66.5,117,1.9,64.6
AL-087,Macon County,65.8,117,1.8,64
AL-089,Madison County,61.8,118,1.9,59.9
AL-091,Marengo County,66,114,1.7,64.3
AL-093,Marion County,62.5,116,1.7,60.8
AL-095,Marshall County,62.2,116,1.8,60.4
AL-097,Mobile County,68.7,123,2.2,66.5
AL-099,Monroe County,67.4,122,2.3,65.1
AL-101,Montgomery County,66.4,115,2,64.4
AL-103,Morgan County,62.2,118,2,60.2
AL-105,Perry County,65.4,118,1.8,63.6
AL-107,Pickens County,65,116,1.9,63.1
AL-109,Pike County,65.9,105,1.3,64.6
AL-111,Randolph County,62.8,121,2.3,60.5
AL-113,Russell County,66.1,119,1.9,64.2
AL-115,St. Clair County,63.6,121,2.4,61.2
AL-117,Shelby County,63.8,116,1.8,62
AL-119,Sumter County,65.8,114,1.8,64
AL-121,Talladega County,63.8,120,2,61.8
AL-123,Tallapoosa County,63.8,116,1.6,62.2
AL-125,Tuscaloosa County,64.8,115,1.8,63
AL-127,Walker County,63.5,118,1.8,61.7
AL-129,Washington County,67.1,117,1.8,65.3
AL-131,Wilcox County,66.7,120,2,64.7
AL-133,Winston County,61.7,112,1.5,60.2
AZ-001,Apache County,51.8,120,2.1,49.7
AZ-003,Cochise County,62.6,123,2.2,60.4
AZ-005,Coconino County,54.3,122,2.6,51.7
AZ-007,Gila County,61.5,123,3,58.5
AZ-009,Graham County,62.7,124,2.4,60.3
AZ-011,Greenlee County,58.4,122,2.6,55.8
AZ-012,La Paz County,72.7,120,2.4,70.3
AZ-013,Maricopa County,71.8,121,2.6,69.2
AZ-015,Mohave County,64,121,2.6,61.4
AZ-017,Navajo County,53.5,120,2.4,51.1
AZ-019,Pima County,69,122,2.4,66.6
AZ-021,Pinal County,70,118,2.3,67.7
AZ-023,Santa Cruz County,61.9,119,2,59.9
AZ-025,Yavapai County,60.9,122,2.7,58.2
AZ-027,Yuma County,73.6,120,2.7,70.9
AR-001,Arkansas County,63.4,103,1.3,62.1
AR-003,Ashley County,65.1,118,2,63.1
AR-005,Baxter County,58.2,99,1,57.2
AR-007,Benton County,58.3,96,1,57.3
AR-009,Boone County,57.7,95,0.8,56.9
AR-011,Bradley County,64.6,119,1.9,62.7
AR-013,Calhoun County,64,108,1.2,62.8
AR-015,Carroll County,57.8,96,0.9,56.9
AR-017,Chicot County,64.5,98,1,63.5
AR-019,Clark County,63.4,106,1.2,62.2
AR-021,Clay County,59.7,96,1,58.7
AR-023,Cleburne County,60.1,104,1.2,58.9
AR-025,Cleveland County,63.4,105,1.1,62.3
AR-027,Columbia County,64.4,106,1.1,63.3
AR-029,Conway County,61.2,97,1,60.2
AR-031,Craighead County,60.8,108,1.4,59.4
AR-033,Crawford County,60.2,92,0.9,59.3
AR-035,Crittenden County,62.4,104,1.2,61.2
AR-037,Cross County,61.8,99,1.1,60.7
AR-039,Dallas County,63.2,101,1,62.2
AR-041,Desha County,63.7,100,1,62.7
AR-043,Drew County,64.2,112,1.5,62.7
AR-045,Faulkner County,61.5,98,1,60.5
AR-047,Franklin County,60.1,93,0.9,59.2
AR-049,Fulton County,58.2,110,1.6,56.6
AR-051,Garland County,62.1,106,1.4,60.7
AR-053,Grant County,62.9,96,0.9,62
AR-055,Greene County,60.1,99,1.1,59
AR-057,Hempstead County,63.3,94,0.8,62.5
AR-059,Hot Spring County,62.8,104,1.1,61.7
AR-061,Howard County,62.3,103,1,61.3
AR-063,Independence County,60.1,107,1.4,58.7
AR-065,Izard County,58.5,97,1,57.5
AR-067,Jackson County,60.9,105,1.3,59.6
AR-069,Jefferson County,63.1,99,1,62.1
AR-071,Johnson County,59.6,97,1,58.6
AR-073,Lafayette County,64.6,108,1.2,63.4
AR-075,Lawrence County,60,106,1.3,58.7
AR-077,Lee County,62.9,107,1.4,61.5
AR-079,Lincoln County,63.6,104,1.2,62.4
AR-081,Little River County,64,115,1.4,62.6
AR-083,Logan County,61.1,93,1,60.1
AR-085,Lonoke County,62.7,105,1.1,61.6
AR-087,Madison County,57.3,94,0.8,56.5
AR-089,Marion County,58,92,0.9,57.1
AR-091,Miller County,64.7,107,1.2,63.5
AR-093,Mississippi County,61.4,105,1.3,60.1
AR-095,Monroe County,63,106,1.4,61.6
AR-097,Montgomery County,61.5,106,1.4,60.1
AR-099,Nevada County,63.6,97,0.9,62.7
AR-101,Newton County,57.4,99,1,56.4
AR-103,Ouachita County,63.7,93,0.7,63
AR-105,Perry County,61.9,100,1.2,60.7
AR-107,Phillips County,63.3,108,1.4,61.9
AR-109,Pike County,62,97,0.9,61.1
