Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,79,125,3.4,75.6
AL-003,Baldwin County,79.2,123,1.9,77.3
AL-005,Barbour County,78.5,119,2.1,76.4
AL-007,Bibb County,77,120,2.2,74.8
AL-009,Blount County,74.2,107,1.5,72.7
AL-011,Bullock County,78.1,121,2.2,75.9
AL-013,Butler County,79,125,2.5,76.5
AL-015,Calhoun County,75.7,122,2.6,73.1
AL-017,Chambers County,76.3,118,2.1,74.2
AL-019,Cherokee County,74.4,112,1.8,72.6
AL-021,Chilton County,77.6,125,2.9,74.7
AL-023,Choctaw County,77.9,108,1.3,76.6
AL-025,Clarke County,78.1,103,1.2,76.9
AL-027,Clay County,75.5,122,2.4,73.1
AL-029,Cleburne County,75.1,124,2.9,72.2
AL-031,Coffee County,80.1,126,3.1,77
AL-033,Colbert County,73.8,110,1.4,72.4
AL-035,Conecuh County,79,108,1.6,77.4
AL-037,Coosa County,77.1,124,2.6,74.5
AL-039,Covington County,79.9,126,2.1,77.8
AL-041,Crenshaw County,79,124,2.5,76.5
AL-043,Cullman County,73.3,89,0.7,72.6
AL-045,Dale County,79.9,125,3,76.9
AL-047,Dallas County,79.1,125,3.4,75.7
AL-049,DeKalb County,71.8,106,1.4,70.4
AL-051,Elmore County,78.4,124,2.6,75.8
AL-053,Escambia County,79.5,112,1.5,78
AL-055,Etowah County,74.5,117,2,72.5
AL-057,Fayette County,75.3,107,1.4,73.9
AL-059,Franklin County,73.4,108,1.4,72
AL-061,Geneva County,80.8,126,3.1,77.7
AL-063,Greene County,76.5,102,1.2,75.3
AL-065,Hale County,76.7,109,1.6,75.1
AL-067,Henry County,79.4,123,2.5,76.9
AL-069,Houston County,80.7,126,3,77.7
AL-071,Jackson County,71.9,105,1.2,70.7
AL-073,Jefferson County,76.3,121,2.5,73.8
AL-075,Lamar County,75.1,97,1.2,73.9
AL-077,Lauderdale County,73.5,110,1.5,72
AL-079,Lawrence County,73.2,101,1,72.2
AL-081,Lee County,76.9,115,1.8,75.1
AL-083,Limestone County,73.4,107,1.6,71.8
AL-085,Lowndes County,79.6,125,3.4,76.2
AL-087,Macon County,77.8,116,1.8,76
AL-089,Madison County,73.1,106,1.4,71.7
AL-091,Marengo County,77.8,116,2,75.8
AL-093,Marion County,74,104,1.3,72.7
AL-095,Marshall County,73.2,110,1.6,71.6
AL-097,Mobile County,79.5,125,2.4,77.1
AL-099,Monroe County,79,122,2.1,76.9
AL-101,Montgomery County,79.2,125,3,76.2
AL-103,Morgan County,73.2,94,1,72.2
AL-105,Perry County,77.6,124,2.6,75
AL-107,Pickens County,76,105,1.2,74.8
