Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,55.1,125,2.9,52.2
AL-003,Baldwin County,59,124,2.8,56.2
AL-005,Barbour County,55.8,126,2.6,53.2
AL-007,Bibb County,53.4,125,2.6,50.8
AL-009,Blount County,53.5,125,5,48.5
AL-011,Bullock County,55.5,126,3,52.5
AL-013,Butler County,55.8,125,3.3,52.5
AL-015,Calhoun County,52.5,125,3.7,48.8
AL-017,Chambers County,52.1,124,3.2,48.9
AL-019,Cherokee County,52.1,125,3.5,48.6
AL-021,Chilton County,53.3,125,2.6,50.7
AL-023,Choctaw County,55.5,125,3.2,52.3
AL-025,Clarke County,56.3,126,3.5,52.8
AL-027,Clay County,51.3,124,3.1,48.2
AL-029,Cleburne County,51.2,124,3.5,47.7
AL-031,Coffee County,56.1,123,2.4,53.7
AL-033,Colbert County,51.2,126,3.7,47.5
AL-035,Conecuh County,57.2,125,3.8,53.4
AL-037,Coosa County,52.8,125,2.8,50
AL-039,Covington County,56.2,125,2.8,53.4
AL-041,Crenshaw County,55,125,2.7,52.3
AL-043,Cullman County,53.2,126,5.2,48
AL-045,Dale County,56.7,121,2.2,54.5
AL-047,Dallas County,55.5,125,2.6,52.9
AL-049,DeKalb County,51.2,124,3.1,48.1
AL-051,Elmore County,54.7,122,3,51.7
AL-053,Escambia County,57.6,126,3.7,53.9
AL-055,Etowah County,53,125,3.8,49.2
AL-057,Fayette County,53,125,2.9,50.1
AL-059,Franklin County,51,125,3.2,47.8
AL-061,Geneva County,56.6,120,2.1,54.5
AL-063,Greene County,54.3,118,1.9,52.4
AL-065,Hale County,54.3,119,2,52.3
AL-067,Henry County,57,125,2.5,54.5
AL-069,Houston County,57.8,124,2.5,55.3
AL-071,Jackson County,50.9,124,2.8,48.1
AL-073,Jefferson County,53.3,125,3.5,49.8
AL-075,Lamar County,53.2,125,3.1,50.1
AL-077,Lauderdale County,50.9,125,4,46.9
AL-079,Lawrence County,51.1,126,3,48.1
AL-081,Lee County,54.1,125,3.3,50.8
AL-083,Limestone County,51.9,125,4.1,47.8
AL-085,Lowndes County,55.8,124,2.9,52.9
AL-087,Macon County,55.2,124,3.2,52
AL-089,Madison County,51.8,125,3.7,48.1
AL-091,Marengo County,54.6,119,1.9,52.7
AL-093,Marion County,51.7,125,2.9,48.8
AL-095,Marshall County,52.7,125,3.6,49.1
AL-097,Mobile County,58.8,125,3,55.8
AL-099,Monroe County,57.3,126,4.1,53.2
AL-101,Montgomery County,55.7,122,3,52.7
AL-103,Morgan County,52.5,126,4.3,48.2
AL-105,Perry County,54.4,123,2.3,52.1
AL-107,Pickens County,54.3,125,3,51.3
AL-109,Pike County,55.6,125,2.7,52.9
AL-111,Randolph County,51.3,125,3.4,47.9
AL-113,Russell County,55,125,2.8,52.2
AL-115,St. Clair County,52.8,124,3.9,48.9
AL-117,Shelby County,52.8,125,3.1,49.7
AL-119,Sumter County,54.5,120,2,52.5
AL-121,Talladega County,52.4,124,3.1,49.3
AL-123,Tallapoosa County,52.4,124,3,49.4
AL-125,Tuscaloosa County,54.1,124,2.8,51.3
AL-127,Walker County,52.7,125,3.1,49.6
AL-129,Washington County,56.4,124,3.4,53
AL-131,Wilcox County,56.1,125,2.9,53.2
AL-133,Winston County,51.2,124,3.1,48.1
AZ-001,Apache County,36.3,94,0.8,35.5
AZ-003,Cochise County,46.3,91,0.9,45.4
AZ-005,Coconino County,38.5,88,0.9,37.6
AZ-007,Gila County,46.3,107,1.6,44.7
AZ-009,Graham County,48,98,1.2,46.8
AZ-011,Greenlee County,43.6,104,1.4,42.2
AZ-012,La Paz County,57.4,85,1.1,56.3
AZ-013,Maricopa County,56.8,102,1.9,54.9
AZ-015,Mohave County,49.6,91,1,48.6
AZ-017,Navajo County,37.4,81,0.6,36.8
AZ-019,Pima County,52.7,85,0.9,51.8
AZ-021,Pinal County,55.6,114,1.9,53.7
AZ-023,Santa Cruz County,45.6,76,0.6,45
AZ-025,Yavapai County,45,96,1.2,43.8
AZ-027,Yuma County,57.8,97,1.7,56.1
AR-001,Arkansas County,54.1,123,2.6,51.5
AR-003,Ashley County,54.4,122,2.9,51.5
AR-005,Baxter County,47.1,116,2.1,45
AR-007,Benton County,47.9,118,1.9,46
AR-009,Boone County,46.8,112,1.5,45.3
AR-011,Bradley County,53.7,122,2.8,50.9
AR-013,Calhoun County,52.8,117,2,50.8
AR-015,Carroll County,47.2,112,1.5,45.7
AR-017,Chicot County,54.9,122,2.6,52.3
AR-019,Clark County,51.8,113,1.7,50.1
AR-021,Clay County,49.7,117,2.4,47.3
AR-023,Cleburne County,50,118,2,48
AR-025,Cleveland County,52.8,121,2.1,50.7
AR-027,Columbia County,52.9,106,1.3,51.6
AR-029,Conway County,50.2,114,1.7,48.5
AR-031,Craighead County,51.3,122,2.8,48.5
AR-033,Crawford County,49.6,113,1.6,48
AR-035,Crittenden County,53.4,123,2.5,50.9
AR-037,Cross County,52.8,123,2.3,50.5
AR-039,Dallas County,52.1,114,1.8,50.3
AR-041,Desha County,54.5,123,2.8,51.7
AR-043,Drew County,54.2,122,2.7,51.5
